Review,Size,Comfort,Features,star_rating
NA,"['6', '8', '9', '10', '11', '12']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Laces
Synthetic upper with soft lining that shapes to the foot
Low-profile multi-studded rubber outsole. Suitable for use on hard natural surfaces and synthetic grass.
TT: Turf Training
Regular fit",,NA
NA,"['6', '6.5', '9.5', '10.5', '11']","PUMA NRGY Foam for maximum energy return and comfort
The eTPU pellets are bursting with energy to give you a pop with every stride
Softfoam comfort sockliner: Instant step-in comfort that provides soft cushioning every step of your day","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
Clean, stylish mesh upper for a sleek on-foot look
Full rubber outsole for maximum traction and durability",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PWRTAPE: Targeted upper reinforcement for support and durability
RUNGUIDE: Firm density guide rail designed to keep your foot aligned and centred through each stride
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
Asymmetrical heel counter
Flared rubber outsole
Cushioning level: Max
Heel-to-toe drop: 10mm
Best for: Overpronators
Runner type: Frequent
Shoe weight: 274g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '11']",CMEVA: PUMA's compression-moulded EVA material for lightweight performance,"Low boot
Progressive upper design
Moulded synthetic midfoot cage
TPU eyestay
Softride EVA technology for extreme cushioning and all-day comfort
Bold PUMA Cat Logos on the upper and tongue",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
TPU heel spoiler
Heel fit: rolled collar to keep the heel secure and comfortable
Cushioning level: Medium
Shoe pronation: Neutral
PUMA Formstrip on the lateral side
Heel-to-toe drop: 8mm",NA
NA,"['6', '7', '8', '9', '10']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
EVA midsole provides lightweigh cushioning
Rubber outsole for grip
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']",CMEVA: PUMA's compression-moulded EVA material for lightweight performance,"Heel type: Platform
Shoe width: Regular fit
Low boot silhouette with regular fit
Ultra-soft perforated upper for breathable, flexible comfort
EVA midsole
Multi-studded rubber outsole for grip
Lace closure for a snug fit
Branding on quarter panel
PUMA Cat Logo on toe and tongue",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","Low boot
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Built for an average running distance of upto 800 km
Textile upper
Rubber outsole
Ideal for road and treadmill running
PUMA Cat logo at tongue
PUMA Formstrip on lateral side",,NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
TPU heel spoiler
NITRO™ foam midsole and PROFOAMLITE EVA foam in the midsole
Heel fit: rolled collar to keep the heel secure and comfortable
Cushioning level: Medium
PUMA Formstrip on the lateral side
Heel-to-toe drop: 8mm
Shoe pronation: Neutral
PUMAGRIP rubber outsole
Shoe weight: 266g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP ATR: Trail-ready performance rubber compound designed for traction on ice, mud, and unstable surfaces
Recycled content: The upper of this shoe is made with at least 50% recycled materials as a step toward a better future","Booty construction
Mono-mesh upper
Flared midfoot shape
Toe drainage port
OPTIFIT adaptive fit system designed to offer a secure lockdown and support during exercise
Cushioning level: Medium
Heel-to-toe drop: 6mm
Best for: Neutral pronators
Shoe weight: 342g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","The upper of this shoe is made with at least 30% recycled materials as a step toward a better future.
NITRO™: Advanced foam technology providing superior responsiveness and cushioning in a lightweight package.
PUMAGRIP ATR: Trail-ready performance rubber compound designed for traction on ice, mud, and unstable surfaces
PWRADAPT: Allows the lugs to move independently with the ground for best traction on multi-terrain and in multiple weather conditions","Breathable mono mesh upper with PWRTAPE reinforcements
Adaptive fit system offering a secure lockdown through the midfoot
Forefoot drain ports
NITRO™ foam midsole
Lateral flares in the midfoot for improved ankle support
PUMAGRIP ATR outsole with PWRADAPT lugs for multi-terrain and multi-weather support
Cushioning level: Max
Shoe pronation: Neutral
Heel-to-toe drop: 6mm
Shoe weight: 306g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO™ Infused: Enclosed nitrogen-injected foam designed to provide responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP ATR: Trail-ready performance rubber compound designed for traction on ice, mud, and unstable surfaces","Ripstop mesh upper
Forefoot drainage ports and debris protectors
Cushioning level: Medium
PUMA Formstrip on the lateral side
Heel-to-toe drop: 6mm
Shoe pronation: Neutral",NA
NA,"['6', '7', '8', '9', '10', '11']","Deep Flex Grooves: Offers flexibility & comfort
SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day","Lace closure for snug fit
EVA midsole provides lightweight cushioning
Low boot
Rubber outsole for grip
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Ideal for Road & Treadmill Running",NA
NA,"['6', '9', '10', '11']","CMEVA: PUMA's compression-moulded EVA material for lightweight performance
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
DETAILS
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Low boot construction
EVA midsole
Zoned rubber outsole for greater traction and durability
PUMA Formstrip at side
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Laces
Synthetic upper with soft lining that shapes to the foot
Low-profile multi-studded rubber outsole. Suitable for use on hard natural surfaces and synthetic grass.
TT: Turf Training
Regular fit",,NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
Low boot
Fashionable upper design
Lightweight, cushioned running shoes
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
TPU heel spoiler
NITRO™ foam midsole and PROFOAMLITE EVA foam in the midsole
Heel fit: rolled collar to keep the heel secure and comfortable
Cushioning level: Medium
PUMA Formstrip on the lateral side
Heel-to-toe drop: 8mm
Shoe pronation: Neutral
PUMAGRIP rubber outsole
Shoe weight: 266g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
The upper features a modern burrito construction in the collar, ensuring a perfect fit and enhancing ease of entry.
Light-weight, everyday cushioning runner
Lace closure for snug fit
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
The upper features a modern burrito construction in the collar, ensuring a perfect fit and enhancing ease of entry.
Light-weight, everyday cushioning runner
Lace closure for snug fit
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
Low boot
Fashionable upper design
Lightweight, cushioned running shoes
Ideal for Road & Treadmill Running",,NA
NA,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12']","The upper of this shoe is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials, as a step toward a better future","Lightweight mesh upper
GripControl skin for decisive command over the ball
Knitted low-cut collar for a snug fit around the ankle
Low-profile non-marking rubber indoor outsole
IT: Indoor training outsole
Regular to narrow fit",NA
NA,"['6', '7', '8', '9', '10', '11']",CMEVA: PUMA's compression-moulded EVA material for lightweight performance,"Heel type: Platform
Shoe width: Regular fit
Low boot silhouette
Ultra-soft perforated upper for breathable, flexible comfort
EVA midsole
Multi-studded rubber outsole for grip
Lace closure for a snug fit
Engineered for sports on grass and hard natural surfaces
PUMA Cat Logo on toe and tongue",NA
NA,"['6', '7', '8', '9', '10', '11']","Deep Flex Grooves: Offers flexibility & comfort
SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day","Lace closure for snug fit
EVA midsole provides lightweight cushioning
Low boot
Rubber outsole for grip
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Ideal for Road & Treadmill Running",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 9 mm
Cushioning level: Max
PUMA Formstrip on the lateral side",NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
EVA midsole provides lightweigh cushioning
Rubber outsole for grip
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
The upper features a modern burrito construction in the collar, ensuring a perfect fit and enhancing ease of entry.
Light-weight, everyday cushioning runner
Lace closure for snug fit
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11', '12']","CMEVA: Also known as ProFoam Lite is PUMA's compression-moulded EVA material is a lightweight foam that provides excellent cushioning and energy return.
ProFoam Lite is a durable and long-lasting material which provides a comfortable and responsive ride.","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8 mm
Low boot
Engineered mesh upper for breathability
Lightweight ProFoam Lite midsole
Exposed performance rubber outsole for traction and durability
Lockdown support at midfoot
Debossed PUMA Cat Logo at tongue
PUMA Formstrip at lateral sides
ProFoam Lite wording at lateral sides
Debossed PUMA Cat Logo at bottom of sole
Running Type : Neutral
Ideal for Road & Treadmill Running",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered knit upper
Reflective design elements
Cushioning level: Medium
Heel-to-toe drop: 8mm
Best for: Neutral pronators
Runner type: Frequent",NA
NA,"['6', '7', '9', '10']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PWRTAPE: Targeted upper reinforcement for support and durability
RUNGUIDE: Firm density guide rail designed to keep your foot aligned and centred through each stride
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
Asymmetrical heel counter
Flared rubber outsole
Cushioning level: Max
Heel-to-toe drop: 10mm
Best for: Overpronators
Runner type: Frequent
Shoe weight: 274g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Lightweight mono-mesh upper
Reflective design elements
TPU heel spoiler
Cushioning level: Low
Heel-to-toe drop: 6mm
Best for: Neutral pronators
Runner type: Frequent",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
TPU heel spoiler
NITRO™ foam midsole and PROFOAMLITE EVA foam in the midsole
Heel fit: rolled collar to keep the heel secure and comfortable
Cushioning level: Medium
PUMA Formstrip on the lateral side
Heel-to-toe drop: 8mm
Shoe pronation: Neutral
PUMAGRIP rubber outsole
Shoe weight: 266g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Low boot
Bold new silhouette with flex grooves running full length of tooling
Upper features PUMA wordmark at upper
Slip-On construction for ease
Running Type : Neutral
Ideal for Road & Treadmil Running",,NA
NA,"['8', '9', '10']",,,NA
NA,"['6', '7', '8', '9', '10', '11']","Lightweight PU upper
Regular tongue construction
Low-profile non-marking rubber outsole
IT: Indoor Training
PUMA Formstrip on lateral side",,NA
NA,"['9', '10', '11', '12']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Laces
Synthetic upper with soft lining that shapes to the foot
Lightweight TPU outsole with conical studs. Suitable for use on firm natural and artificial grass
FG/AG: Firm ground/Artificial ground
Regular fit",,NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Knitted upper
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 9 mm
Cushioning level: Max
PUMA Formstrip on the lateral side",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 9 mm
Cushioning level: Max
PUMA Formstrip on the lateral side",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO™ Infused: Enclosed nitrogen-injected foam designed to provide responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP ATR: Trail-ready performance rubber compound designed for traction on ice, mud, and unstable surfaces","Ripstop mesh upper
Forefoot drainage ports and debris protectors
Cushioning level: Medium
PUMA Formstrip on the lateral side
Heel-to-toe drop: 6mm
Shoe pronation: Neutral",NA
NA,"['6', '8', '9', '10']","SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
SOFTRIDE - cushioning & comfort
Details
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 5 mm
Low boot
SOFTRIDE midsole: PUMA’s softest foam providing extreme cushioning and all-day comfort.
Zoned rubber outsole for improved traction
PUMA Cat Logo at tongue
PUMA Wordmark and Cat Logo at lateral side
Running Type : Neutral
Ideal for Road & Treadmil Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
OPTIFIT: Adaptive fit system designed to offer a secure lockdown and support during exercise
PUMAGRIP ATR: Trail-ready performance rubber compound designed for traction on ice, mud, and unstable surfaces","Heel type: Flat
Shoe width: Regular fit
Built for a running distance of upto 800 km
Ideal for trail/off-road surface
Mono-mesh upper
Forefoot drainage ports
Best for: Neutral pronators
Heel-to-toe drop: 10 mm
Cushioning level: Max
PUMA Formstrip on the lateral side",NA
NA,"['3', '4', '5', '6', '7', '8']","ULTRAWEAVE: Ultra-light, engineered fabric with a structured, 4-way stretch that reduces weight and friction Built for athletes looking to increase speed and strength
PWRTAPE: Targeted upper reinforcement for support and durability
The upper of this shoe is made with at least 20% recycled materials as a step toward a better future
Women's Fit: This football boot is made for the women player, with measurements such as volume and instep height engineered for the female foot","ULTRAWEAVE upper with PWRTAPE
Lightweight removable sockliner with NanoGrip technology keeps the foot from slipping inside the boot
Dual-density SPEEDPLATE outsole is inspired by PUMA track running spikes for next-level traction and propulsion
Lightweight Dynamic Motion System outsole enhances traction and agility for unpredictable changes of pace and direction. Suitable for use on both firm natural surfaces and artificial grass (4G)
FG/AG: Firm Ground/Artificial Ground outsole",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PWRTAPE: Targeted upper reinforcement for support and durability
RUNGUIDE: Firm density guide rail designed to keep your foot aligned and centred through each stride
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
Asymmetrical heel counter
Flared rubber outsole
Cushioning level: Max
Heel-to-toe drop: 10mm
Best for: Overpronators
Runner type: Frequent
Shoe weight: 274g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO™ Infused: Enclosed nitrogen-injected foam designed to provide responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP ATR: Trail-ready performance rubber compound designed for traction on ice, mud, and unstable surfaces","Ripstop mesh upper
Forefoot drainage ports and debris protectors
Cushioning level: Medium
PUMA Formstrip on the lateral side
Heel-to-toe drop: 6mm
Shoe pronation: Neutral",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Carbon fibre plate engineered to stabilise the midsole while maximising energy transfer
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Mono-mesh upper
Reflective design elements
TPU heel spoiler
Cushioning level: Max
Heel-to-toe drop: 8mm
Best for: Neutral pronators
Runner type: Frequent",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO™ Foam: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PWRTAPE: Targeted upper reinforcement for support and durability
RUNGUIDE: Firm density guide rail designed to keep your foot aligned and centred through each stride
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered knit upper
Asymmetrical heel counter
Flared rubber outsole
Cushioning level: Max
Heel-to-toe drop: 7.5mm
Best for overpronators
Best for frequent runners",NA
NA,"['6', '7', '8', '9', '10', '11']","SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
DETAILS
Low boot
Responsive foam midsole
Zoned rubber outsole
Midfoot internal lockdown support
Soft tongue for comfort
Lace closure for a snug fit
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Wordmark at the tongue
PUMA Formstrip at the lateral side
Ideal for Road & Treadmil Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","SoftFoam+ sockliner: Cushioned footbed and sockliner provides optimal step-in comfort.
EVA: PUMA's compression-moulded EVA material for lightweight performance","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Clean upper with synthetic overlays in eyestays
Lightweight EVA midsole
Zoned rubber outsole for improved traction and agility
Lace closure for a snug fit
Toe and heel rubber traction zones for training stability
Heel-toe drop: 10 mm
Reverse PUMA Formstrip with tooling
PUMA Cat Logo at laces
PUMA Wordmark at tongue",NA
NA,"['6', '9', '10', '11']","PWRFRAME: Ultra-thin TPU frame, strategically placed in the high-stress areas on the upper, delivers lightweight support and increased stability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Ideal for firm ground surface
Rubber outsole
Cusioning level: Medium
PUMA Formstrip on the lateral side
PUMA Cat Logo on the medial side",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Innovative carbon composite plate designed for maximum energy transfer and optimised running efficiency
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Breathable mesh upper
Reflective design elements
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 8 mm
Cushioning level: Max
PUMA Formstrip on the lateral side
Shoe weight: 262g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '10']",CMEVA: PUMA's compression-moulded EVA material for lightweight performance,"Heel type: Platform
Shoe width: Regular fit
Low boot silhouette
Ultra-soft perforated upper for breathable, flexible comfort
EVA midsole
Multi-studded rubber outsole for grip
Lace closure for a snug fit
Engineered for sports on grass and hard natural surfaces
PUMA Cat Logo on toe and tongue",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Innovative carbon composite plate designed for maximum energy transfer and optimised running efficiency
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Wide fit
Breathable mesh upper
Reflective design elements
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 6mm
Cushioning level: Max
PUMA Formstrip on the lateral side",NA
NA,"['7', '8', '9', '10', '11', '12']","Lightweight yet durable PU upper enhanced with deboss and print details
Regular tongue construction fits various foot shapes
Regular to narrow fit
Low-profile multi-studded rubber outsole. Suitable for use on hard natural surfaces and artificial grass (2G)
TT: Turf training outsole",,NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Innovative carbon composite plate designed for maximum energy transfer and optimised running efficiency
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Breathable mesh upper
Reflective design elements
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 8 mm
Cushioning level: Max
PUMA Formstrip on the lateral side
Shoe weight: 262g (for size UK 8)",NA
NA,"['9', '10']","CMEVA: PUMA's compression-moulded EVA material for lightweight performance
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
DETAILS
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Low boot construction
EVA midsole
Zoned rubber outsole for greater traction and durability
PUMA Formstrip at side
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO FOAM: PUMA's advanced technology providing superior responsiveness and cushioning in a lightweight package
PUMAGRIP: PUMA's durable rubber compound that provides all-surface traction","Low boot
Engineered mesh upper
NITRO FOAM midsole for a responsive, cushioned fit
PUMAGRIP rubber outsole for traction and durability
Lace closure for a snug fit
TPU heel piece for added stability
Reflective design elements
PUMA Cat Logo at toe
PUMA Formstrip at lateral side",NA
NA,"['6', '7', '8', '9', '10']","STABILITY: Vertical FuseFlex lines provide improved metatarsal foot splay, while an internal midsole offers a stable stance during training workouts
SUPPORT: TPU clip for enhanced heel support
GRIP: PUMAGRIP rubber for maximum traction and durability during training movements. Go from box jumps to heavy lifts with confidence and speed.
PROFOAM: Lightweight EVA designed to cushion your landing and propel your next step","Textile upper
TPU heel clip
PROFOAM EVA midsole
PUMAGRIP rubber outsole
FuseFlex vertical outsole flex grooves
Textile sockliner
Heel-to-toe drop: 4 mm
Shoe pronation: Neutral",NA
NA,"['6', '7', '8', '9', '10', '11']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Innovative carbon composite plate designed for maximum energy transfer and optimised running efficiency
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Breathable mesh upper
Reflective design elements
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 8 mm
Cushioning level: Max
PUMA Formstrip on the lateral side
Shoe weight: 262g (for size UK 8)",NA
NA,"['6', '7', '8', '9', '11']","NITRO: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Engineered mesh upper
Reflective design elements
Best for: Neutral pronators
Heel-to-toe drop: 10mm
Cushioning level: Medium
PUMA Formstrip on the lateral side",NA
NA,"['6', '7', '8', '9']","NITRO™ Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Innovative carbon composite plate designed for maximum energy transfer and optimised running efficiency
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Breathable engineered mesh upper
Reflective design elements
TPU heel spoiler
Cushioning level: Max
Heel-to-toe drop: 6mm
Best for: Neutral pronators
Runner type: Frequent",NA
NA,"['6', '7', '9', '10', '11']","CMEVA: PUMA's compression-moulded EVA material for lightweight performance
SoftFoam: PUMA's dual-density insole provides two unique layers of cushioning for customised comfort, fit and long-lasting durability","Modern burrito collar construction
Zoned rubber outsole for enhanced traction
Lace closure for a snug fit
Pull tab at back
PUMA Cat Logo at tongue
PUMA Wordmark at midfoot
PUMA Cat Logo at heel",NA
NA,"['9', '10', '11']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Laces
Synthetic upper with soft lining that shapes to the foot
Lightweight TPU outsole with conical studs. Suitable for use on firm natural and artificial grass
FG/AG: Firm ground/Artificial ground
Regular fit",,NA
NA,"['6', '7', '8', '9']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Carbon fibre plate engineered to stabilise the midsole while maximising energy transfer
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP-LT: Lightweight, high traction rubber compound designed for the ultimate race-day performance","Sock-like fit
Breathable mono-mesh upper with 3D printed support
Undercut heel and forefoot
Heel fin
Cushioning level: Low
Heel-to-toe drop: 0mm
Best for: Neutral pronators
Runner type: Competitive",NA
NA,"['6', '7', '8', '9', '10']","CMEVA: PUMA's compression-moulded EVA material for lightweight performance
DETAILS
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 10 mm
Low boot
10CELL heel piece for comfort and stability
Innovative lacing system for a snug fit
PUMA Cat Logo at tongue and lateral sides
PUMA Wordmark at heel
Ideal for Road & Treadmill Running",,NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Premium knit upper
Moulded heel collar for enhanced heel fit and comfort
NITRO™ foam midsole
PUMAGRIP rubber outsole
Rubber placements on the heel for durability
Best for: Neutral pronation
Cushioning level: Max",NA
NA,"['6', '7', '8', '9', '10', '11', '12']","NITRO™: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Premium knit upper
Moulded heel collar for enhanced heel fit and comfort
NITRO™ foam midsole
PUMAGRIP rubber outsole
Rubber placements on the heel for durability
Best for: Neutral pronation
Cushioning level: Max",NA
